nameWithOwner;url;stars;age;releases;pullRequests;primaryLanguage;cbo;dit;lcom;loc
Exrick/xmall;https://github.com/Exrick/xmall;6406;4.1;0;17;Java;4.220820189274448;1.1577287066246056;136.7297202160001;44757
apache/dolphinscheduler;https://github.com/apache/dolphinscheduler;6395;2.5;17;3335;Java;6.167164179104478;1.3291044776119403;402.3568357360009;67827
Angel-ML/angel;https://github.com/Angel-ML/angel;6385;4.4;19;557;Java;8.19224467504096;1.7695248498088476;518.1891510850008;201496
zendesk/android-floating-action-button;https://github.com/zendesk/android-floating-action-button;6342;7.0;0;85;Java;5.318181818181818;1.5909090909090908;3.8715094;1078
yuanguangxin/LeetCode;https://github.com/yuanguangxin/LeetCode;6303;1.7;0;4;Java;1.218978102189781;0.9927007299270073;23.630556230000007;3181
koush/ion;https://github.com/koush/ion;6282;8.3;0;72;Java;4.520689655172414;1.4551724137931035;35.987599146;9443
apache/storm;https://github.com/apache/storm;6272;7.8;0;3411;Java;5.569974046715911;1.295268516669994;1323.7610539540037;375901
json-path/JsonPath;https://github.com/json-path/JsonPath;6247;10.6;7;288;Java;4.6880733944954125;1.510703363914373;63.00698015800003;13899
vinc3m1/RoundedImageView;https://github.com/vinc3m1/RoundedImageView;6246;8.6;19;51;Java;7.875;1.6875;3.52372944;1265
gocd/gocd;https://github.com/gocd/gocd;6229;7.7;68;6445;Java;8.122321134190571;1.270359380151665;1370.322564769999;289833
GrenderG/Toasty;https://github.com/GrenderG/Toasty;6227;4.6;19;36;Java;3.823529411764706;1.0;1.7123931099999998;487
lenve/VBlog;https://github.com/lenve/VBlog;6214;3.7;0;10;Java;4.4;1.0;8.20683632;781
spring-projects/spring-security;https://github.com/spring-projects/spring-security;6209;9.7;74;1725;Java;7.345502529140092;1.54849351220585;970.0190412789977;167184
wildfirechat/server;https://github.com/wildfirechat/server;6208;2.6;48;17;Java;6.935643564356436;1.5358910891089108;245.4864765679999;137078
Meituan-Dianping/walle;https://github.com/Meituan-Dianping/walle;6194;4.7;1;37;Java;3.1157894736842104;1.1789473684210525;27.448354399999996;4633
k9mail/k-9;https://github.com/k9mail/k-9;6180;10.6;112;2312;Java;4.9817073170731705;1.3851626016260163;226.2126513999999;58681
ionic-team/capacitor;https://github.com/ionic-team/capacitor;6168;3.8;63;1900;Java;5.757142857142857;1.4428571428571428;22.986508459999996;5355
