nameWithOwner;url;stars;age;releases;pullRequests;primaryLanguage;cbo;dit;lcom
geekxh/hello-algorithm;https://github.com/geekxh/hello-algorithm;28507;1.3;0;28;Java;1.25;0.75;0.0
zxing/zxing;https://github.com/zxing/zxing;28353;9.9;27;300;Java;5.024561403508772;1.7333333333333334;186.77576691999988
netty/netty;https://github.com/netty/netty;27544;10.8;0;6055;Java;5.329431960049938;1.7762172284644195;1178.7075005749987
eugenp/tutorials;https://github.com/eugenp/tutorials;27455;8.4;0;10686;Java;4.170074606244819;1.135258358662614;2655.312459542008
skylot/jadx;https://github.com/skylot/jadx;27098;8.5;14;321;Java;4.71557336004006;1.8322483725588383;414.2410663760002
alibaba/arthas;https://github.com/alibaba/arthas;27083;3.0;37;541;Java;4.758169934640523;1.3830065359477124;233.5812791199999
crossoverJie/JCSprout;https://github.com/crossoverJie/JCSprout;26388;3.7;0;107;Java;1.9567901234567902;1.0864197530864197;23.63064583
ityouknow/spring-boot-examples;https://github.com/ityouknow/spring-boot-examples;26211;4.8;0;42;Java;4.677130044843049;1.0269058295964126;24.763374560000006
JakeWharton/butterknife;https://github.com/JakeWharton/butterknife;25735;8.5;0;489;Java;3.9450549450549453;1.2307692307692308;41.229763930000004
apolloconfig/apollo;https://github.com/apolloconfig/apollo;25426;5.5;33;1289;Java;5.976513098464318;1.2872628726287263;290.10556397600016
proxyee-down-org/proxyee-down;https://github.com/proxyee-down-org/proxyee-down;25380;3.9;49;34;Java;5.426229508196721;1.4426229508196722;22.836403009999998
jeecgboot/jeecg-boot;https://github.com/jeecgboot/jeecg-boot;24907;2.8;16;126;Java;7.013559322033898;1.1745762711864407;144.13888059000004
alibaba/druid;https://github.com/alibaba/druid;24473;9.9;42;1106;Java;6.616573791119899;2.3886392234405895;763.2220138089996
alibaba/fastjson;https://github.com/alibaba/fastjson;23771;9.9;82;743;Java;2.243956391215042;1.5048190867435614;759.6669014199966
greenrobot/EventBus;https://github.com/greenrobot/EventBus;23594;9.2;5;118;Java;3.675392670157068;1.8534031413612566;32.54364841
xkcoding/spring-boot-demo;https://github.com/xkcoding/spring-boot-demo;23304;3.8;0;61;Java;5.0393374741200825;1.1283643892339545;42.12438474
scwang90/SmartRefreshLayout;https://github.com/scwang90/SmartRefreshLayout;22955;4.3;8;21;Java;5.51984126984127;1.5277777777777777;61.60415264
lenve/vhr;https://github.com/lenve/vhr;22270;3.7;0;52;Java;4.389473684210526;1.0105263157894737;28.455185720000006
CymChad/BaseRecyclerViewAdapterHelper;https://github.com/CymChad/BaseRecyclerViewAdapterHelper;22253;5.4;191;271;Java;4.405063291139241;1.5443037974683544;24.070165149999998
dbeaver/dbeaver;https://github.com/dbeaver/dbeaver;22081;5.9;135;2040;Java;8.899261447562777;1.8676514032496307;1939.5716061839994
Netflix/Hystrix;https://github.com/Netflix/Hystrix;21940;8.8;79;797;Java;3.3693918245264207;1.5692921236291126;221.9814435810001
SeleniumHQ/selenium;https://github.com/SeleniumHQ/selenium;21626;8.7;69;2199;Java;6.129695885509839;1.5961538461538463;409.45949693500074
wuyouzhuguli/SpringAll;https://github.com/wuyouzhuguli/SpringAll;21622;3.4;0;13;Java;5.144;1.1093333333333333;85.44106218999997
qiurunze123/miaosha;https://github.com/qiurunze123/miaosha;21473;3.0;0;48;Java;4.172413793103448;1.1206896551724137;69.60887010999998
signalapp/Signal-Android;https://github.com/signalapp/Signal-Android;21105;9.7;0;2461;Java;7.674117904887136;1.6272189349112427;1295.9893319279997
alibaba/easyexcel;https://github.com/alibaba/easyexcel;21077;3.6;1;201;Java;6.495169082125604;1.4516908212560387;113.89240481999995
seata/seata;https://github.com/seata/seata;20758;2.7;31;1747;Java;7.738031914893617;2.0939716312056738;568.4044075080006
alibaba/canal;https://github.com/alibaba/canal;20448;8.7;21;505;Java;5.669590643274854;1.4132553606237817;339.2733492410003
dromara/hutool;https://github.com/dromara/hutool;20371;7.4;100;412;Java;4.673179396092363;1.3084665482534044;555.066934086
alibaba/spring-cloud-alibaba;https://github.com/alibaba/spring-cloud-alibaba;20053;3.8;25;711;Java;6.134353741496598;1.1581632653061225;146.78364174000004
google/gson;https://github.com/google/gson;20020;6.5;1;520;Java;2.8199279711884753;1.3457382953181272;84.961176943
apache/kafka;https://github.com/apache/kafka;19838;10.1;0;11319;Java;7.693123697670013;1.513165372229589;1579.4041482050038
halo-dev/halo;https://github.com/halo-dev/halo;19689;3.5;72;494;Java;7.805792163543441;1.453151618398637;113.76917987499988
ReactiveX/RxAndroid;https://github.com/ReactiveX/RxAndroid;19495;7.1;18;231;Java;2.1636363636363636;1.1090909090909091;3.77489179
alibaba/nacos;https://github.com/alibaba/nacos;19452;3.2;41;2085;Java;5.665871121718377;1.3274463007159905;594.5353560560003
xuxueli/xxl-job;https://github.com/xuxueli/xxl-job;19379;5.8;30;314;Java;4.603658536585366;1.1402439024390243;47.64248153000001
libgdx/libgdx;https://github.com/libgdx/libgdx;18897;9.1;8;3238;Java;5.904786412763768;1.9006690684508492;952.1285016300012
google/ExoPlayer;https://github.com/google/ExoPlayer;18236;7.2;13;1032;Java;8.189944134078212;1.3747007182761373;759.1121015209989
square/picasso;https://github.com/square/picasso;18116;8.3;7;678;Java;7.618556701030927;1.4329896907216495;20.65907539
didi/DoraemonKit;https://github.com/didi/DoraemonKit;17912;3.1;5;338;Java;4.3648915187376724;1.3379355687047996;385.1477712910003
Baseflow/PhotoView;https://github.com/Baseflow/PhotoView;17911;9.1;5;151;Java;4.630434782608695;1.326086956521739;7.3451968800000005
DrKLO/Telegram;https://github.com/DrKLO/Telegram;17812;7.9;68;490;Java;7.355818328406342;1.6986025262026336;2056.9109842540097
jenkinsci/jenkins;https://github.com/jenkinsci/jenkins;17811;10.8;124;5684;Java;6.605311116896641;2.159333506899245;848.8591572929982
apache/skywalking;https://github.com/apache/skywalking;17701;5.8;46;3732;Java;6.307655729909653;1.44793152639087;472.1760886690013
redisson/redisson;https://github.com/redisson/redisson;17346;7.7;99;434;Java;6.360053144375554;1.3503100088573958;413.8654111560002
alibaba/Sentinel;https://github.com/alibaba/Sentinel;17287;3.4;18;714;Java;4.834403997144896;1.1748750892219844;312.74983395099997
apache/flink;https://github.com/apache/flink;17091;7.3;0;17231;Java;7.800754047460634;1.856420492348636;7349.879112654948
nostra13/Android-Universal-Image-Loader;https://github.com/nostra13/Android-Universal-Image-Loader;16844;9.8;0;151;Java;4.829787234042553;1.574468085106383;44.889887120000004
facebook/fresco;https://github.com/facebook/fresco;16656;6.5;44;402;Java;7.235475896168109;1.4011124845488256;431.01672065600076
CarGuo/GSYVideoPlayer;https://github.com/CarGuo/GSYVideoPlayer;16639;4.8;26;43;Java;5.5;1.5904255319148937;133.7951550199999
elunez/eladmin;https://github.com/elunez/eladmin;16317;2.7;6;127;Java;7.426056338028169;1.1690140845070423;58.75820067999999
linlinjava/litemall;https://github.com/linlinjava/litemall;16313;3.5;8;156;Java;4.59643435980551;1.1247974068071314;259.9435642260001
mybatis/mybatis-3;https://github.com/mybatis/mybatis-3;16184;8.6;34;1221;Java;4.143227478937136;1.2819183408943617;323.4497646950002
shuzheng/zheng;https://github.com/shuzheng/zheng;16082;4.9;0;117;Java;4.490196078431373;1.4058823529411764;169.70252125999997
Tencent/tinker;https://github.com/Tencent/tinker;16005;5.0;42;137;Java;4.698602794411178;1.594810379241517;151.05629327999995
