nameWithOwner;url;star;age;lastUpdate;releases;issuesOpen;issuesClosed;issuesProportion;pullRequests;primaryLanguage
n0shake/Public-APIs;https://github.com/n0shake/Public-APIs;17248;2054;0;0;2;41;0.04878048780487805;328;None
redisson/redisson;https://github.com/redisson/redisson;17243;2787;0;98;192;3169;0.06058693594193752;284;Java
ryanhanwu/How-To-Ask-Questions-The-Smart-Way;https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way;17216;2346;0;0;6;16;0.375;75;JavaScript
Micropoor/Micro8;https://github.com/Micropoor/Micro8;17167;923;0;0;14;31;0.45161290322580644;2;None
neoclide/coc.nvim;https://github.com/neoclide/coc.nvim;17150;1215;0;80;18;2353;0.00764980875478113;470;TypeScript
InterviewMap/CS-Interview-Knowledge-Map;https://github.com/InterviewMap/CS-Interview-Knowledge-Map;17148;1259;0;0;29;75;0.38666666666666666;60;None
DIYgod/RSSHub;https://github.com/DIYgod/RSSHub;17113;1245;0;226;326;2636;0.1236722306525038;4091;JavaScript
bitcoinbook/bitcoinbook;https://github.com/bitcoinbook/bitcoinbook;17106;2939;0;3;37;290;0.12758620689655173;431;Python
phoenixframework/phoenix;https://github.com/phoenixframework/phoenix;17103;2778;0;20;7;2049;0.003416300634455832;1846;Elixir
SpaceVim/SpaceVim;https://github.com/SpaceVim/SpaceVim;17090;1707;0;18;104;2043;0.05090553108174253;2109;Vim script
microsoft/CNTK;https://github.com/microsoft/CNTK;17085;2103;1;32;754;2523;0.2988505747126437;257;C++
uikit/uikit;https://github.com/uikit/uikit;17066;2964;0;203;684;3252;0.21033210332103322;197;HTML
julianshapiro/velocity;https://github.com/julianshapiro/velocity;17056;2698;2;18;40;772;0.05181347150259067;54;JavaScript
nuysoft/Mock;https://github.com/nuysoft/Mock;17031;3047;0;14;271;139;1.9496402877697843;7;JavaScript
coreybutler/nvm-windows;https://github.com/coreybutler/nvm-windows;17023;2535;0;15;147;369;0.3983739837398374;48;Go
immerjs/immer;https://github.com/immerjs/immer;21031;1339;0;86;11;500;0.022;263;JavaScript
MostlyAdequate/mostly-adequate-guide;https://github.com/MostlyAdequate/mostly-adequate-guide;20967;2307;0;1;61;202;0.30198019801980197;270;JavaScript
alibaba/easyexcel;https://github.com/alibaba/easyexcel;20937;1300;0;1;183;1668;0.10971223021582734;64;Java
kriasoft/react-starter-kit;https://github.com/kriasoft/react-starter-kit;20918;2692;0;5;4;1164;0.003436426116838488;486;TypeScript
jesseduffield/lazygit;https://github.com/jesseduffield/lazygit;20908;1198;0;123;203;573;0.3542757417102967;562;Go
markerikson/react-redux-links;https://github.com/markerikson/react-redux-links;20906;2046;0;0;14;22;0.6363636363636364;59;None
sqlmapproject/sqlmap;https://github.com/sqlmapproject/sqlmap;20901;3351;0;6;45;4352;0.010340073529411764;128;Python
jgraph/drawio-desktop;https://github.com/jgraph/drawio-desktop;20869;1556;0;68;189;436;0.4334862385321101;12;JavaScript
byoungd/English-level-up-tips-for-Chinese;https://github.com/byoungd/English-level-up-tips-for-Chinese;20854;1552;0;0;12;44;0.2727272727272727;20;None
